matchup,agent_name,opponent_name,evaluation_function,search_depth,games,wins,losses,win_rate,average_game_length,average_decision_time_seconds,average_expanded_nodes,average_pruned_branches
"AlphaBeta[balanced,d=3]_vs_Expectimax[balanced,d=3]",Expectimax,AlphaBeta,balanced,3,400,196,204,0.49,5.01,0.4558256611208198,25801.853,0.0
"AlphaBeta[mobility,d=3]_vs_Random",AlphaBeta,Random,mobility,3,400,390,10,0.975,5.11,0.0421360938412936,2335.2238137869294,3765.6777081468217
"AlphaBeta[mobility,d=3]_vs_Random",Random,AlphaBeta,none,0,400,10,390,0.025,5.11,1.677672995079586e-05,0.0,0.0
"AlphaBeta[aggressive,d=3]_vs_Random",AlphaBeta,Random,aggressive,3,400,386,14,0.965,5.0,0.0268012709118517,1767.562671546203,3632.7310155535224
"AlphaBeta[aggressive,d=3]_vs_Random",Random,AlphaBeta,none,0,400,14,386,0.035,5.0,1.7681928678049143e-05,0.0,0.0
"AlphaBeta[defensive,d=3]_vs_Random",AlphaBeta,Random,defensive,3,400,391,9,0.9775,5.3125,0.030240833166977,2016.1735751295337,3064.8626943005183
"AlphaBeta[defensive,d=3]_vs_Random",Random,AlphaBeta,none,0,400,9,391,0.0225,5.3125,1.7375597391265994e-05,0.0,0.0
"AlphaBeta[territory,d=3]_vs_Random",AlphaBeta,Random,territory,3,400,391,9,0.9775,5.2075,0.0644330663138405,2163.276165347406,3700.976253298153
"AlphaBeta[territory,d=3]_vs_Random",Random,AlphaBeta,none,0,400,9,391,0.0225,5.2075,1.888545257104344e-05,0.0,0.0
"AlphaBeta[weighted,d=3]_vs_Random",AlphaBeta,Random,weighted,3,400,393,7,0.9825,5.2475,0.0623512876403508,2465.0986038394417,3796.221640488656
"AlphaBeta[weighted,d=3]_vs_Random",Random,AlphaBeta,none,0,400,7,393,0.0175,5.2475,1.813462815185909e-05,0.0,0.0
